pre,level
0.611935679,1
0.493663791,0
0.611935679,1
0.531213949,0
0.591524443,0
0.611935679,1
0.488815475,1
0.597167959,0
0.516462444,0
0.624501038,1
0.541289427,1
0.62398,1
0.599171886,0
0.509188606,0
0.905494062,1
0.605984667,1
0.611935679,1
0.905494062,1
0.579974886,0
0.609095548,1
0.611935679,1
0.629139073,1
0.591592042,0
0.515442785,1
0.514590572,1
0.612746781,0
0.63482445,0
0.583244313,1
0.07101348,0
0.524726585,1
0.631973037,0
0.547951483,0
0.34839875,0
0.20835898,0
0.619766767,1
0.546439282,0
0.523951576,0
0.619766767,1
0.619766767,1
0.578206277,1
0.499424228,0
0.628505493,1
0.905494062,1
0.614334174,1
0.566785143,0
0.630463755,1
0.636797902,0
0.602056499,1
0.521738263,1
0.574700198,0
0.523202822,1
0.587816357,0
0.499641663,1
0.524917516,0
0.530142232,0
0.613316125,0
0.563465683,1
0.616543887,1
0.633450839,1
0.590908988,1
0.522496944,0
0.5688541,1
0.535976715,1
0.588788114,1
0.614525833,0
0.805460837,1
0.805460837,1
0.599111671,1
0.552516261,0
0.605248607,0
0.58551079,1
0.522695165,1
0.506427369,0
0.593052331,0
0.623979908,1
0.62398,1
0.62398,1
0.62398,1
0.56395222,0
0.545953695,1
0.545953695,1
0.611935679,1
0.805460837,1
0.5081283,0
0.631701842,0
0.619766767,1
0.619766767,1
0.571485856,0
0.546240683,0
0.621972616,1
0.586581741,0
0.607002533,0
0.579733504,0
0.506009,0
0.506008977,0
0.51980426,0
0.528847433,0
0.557720925,0
0.722091287,1
0.596105257,0
0.506569702,1
0.506009,0
0.905494062,1
0.614288469,0
0.905494062,1
0.545953695,1
0.905494062,1
0.30651039,0
0.533204316,0
0.805460837,1
0.805460837,1
0.294496658,0
0.539920689,1
0.506009,0
0.32688001,0
0.549672474,1
0.532337068,1
0.38682603,0
0.19583859,0
0.619766767,1
0.622809426,0
0.519363245,1
0.626644522,1
0.619766767,1
0.821753298,1
0.596888375,0
0.595886597,0
0.570391228,0
0.614767974,1
0.540885445,1
0.524587497,0
0.294496658,0
0.619766767,1
0.619766767,1
0.622226475,1
0.587810137,0
0.508312827,0
0.805460837,1
0.4893599,0
0.496320487,0
0.6968463,0
0.905494062,1
0.542163368,1
0.1146621,0
0.4546825,0
0.102974759,0
0.628731755,1
0.550609213,1
0.510811985,1
0.570226396,1
0.805460837,1
0.527150792,0
0.520234911,0
0.294496658,0
0.552396086,0
0.607224543,1
0.562876323,1
0.628657826,1
0.571860021,1
0.54317575,0
0.6028691,1
0.7326692,1
0.547016225,1
0.805460837,1
0.31979278,0
0.516648143,0
0.492888785,0
0.370484258,0
0.294496658,0
0.496821826,0
0.7326692,1
0.7326692,1
0.51138178,1
0.728288341,1
0.31469002,0
0.7326692,1
0.567939278,1
0.1626485,0
0.725728533,1
0.822808117,1
0.619432339,1
0.616177332,1
0.604915946,1
0.7326692,1
0.24374337,0
0.33990482,0
0.6833211,1
0.35870574,0
0.55399432,1
0.313322764,0
0.294496658,0
0.598487745,1
0.633873284,1
0.249335861,0
0.57210115,1
0.635542554,1
0.314562276,0
0.824853365,1
0.735468643,1
0.513187206,0
0.499395752,0
0.618737594,1
0.536562643,1
0.491630618,1
0.562442432,0
0.499407047,0
0.633277575,1
0.510058776,0
0.528955092,0
0.542069969,1
0.538006595,1
0.495685379,0
0.515558912,1
0.576249039,0
0.521986808,1
0.496015528,1
0.609029782,0
0.541110084,0
0.635758265,1
0.538746444,0
0.608567481,0
0.58147079,0
0.550462719,1
0.519291824,0
0.50821036,1
0.617370489,1
0.513768668,0
0.537479572,0
0.636393649,0
0.503537172,1
0.622795097,0
0.622024523,1
0.631843534,0
0.598953791,0
0.629579001,0
0.575118793,1
0.585068459,0
0.61072286,0
0.511727041,1
0.546256707,1
0.581492181,0
0.595816249,1
0.551617889,0
0.611358026,1
0.625201026,1
0.521114323,1
0.503969567,1
0.53821119,1
0.52823796,1
0.614771032,1
0.51025871,0
0.625033068,0
0.613409592,1
0.495682412,0
0.513891851,0
0.615268035,1
0.57683856,1
0.55829974,0
0.612068506,1
0.627523158,1
0.57841075,1
0.530683281,0
0.612682802,0
0.511931068,1
0.50071844,0
0.569521538,0
0.636064557,0
0.61355363,1
0.541240326,0
0.50872383,0
0.537602957,0
0.556878822,0
0.509358628,0
0.52225082,0
0.586467432,1
0.572403893,0
0.494910288,0
0.564740897,1
0.631481771,1
0.612894235,1
0.522576295,1
0.588181514,1
0.616668198,1
0.522529155,1
0.639067595,0
0.535958814,1
0.527575291,1
0.524753985,0
0.602412671,1
0.533845408,1
0.54747507,0
0.623563776,0
0.516689633,0
0.512755803,1
0.60102922,0
0.506232276,1
0.626676013,1
0.551526747,0
0.550332199,0
0.558399473,1
0.604515986,0
0.51746904,0
0.505370668,0
0.555973118,1
0.497171466,1
0.53076195,0
0.545993346,0
0.508050926,0
0.491594219,0
0.582151773,1
0.564124343,0
0.559593417,1
